				message	title					label	
			1	"Снабжение россиян подорвано на порядок", - Злой Одессит намекнул на крупные проблемы оккупантов https://www.dialog.ua/blogs/254034_1655725342	"Снабжение россиян подорвано на порядок", - Злой Одессит намекнул на крупные проблемы оккупантов					w	
			2	На востоке продолжаются бои за Северодонецк. Украинские воины нанесли потери врагу возле Марьинки.	Ситуация на востоке: ВСУ заставили врага отступить возле Марьинки, штурм Северодонецка продолжается					w	
			3	#война Поговорили с Игорем Поповым о том, не страшно ли гражданину РФ говорить о войне публично, узнали, как уживаются русские и украинцы в Турции, и расспросили, как заработать при помощи голоса. Читать оперативные новости: https://bit.ly/2JKHjNz	Автор песни One Ukrainian man Игорь Попов: Мне говорили – ты предал Россию					w	
			4	Что ты такое?😯						n	
			5	По накалу страстей на главных кортах Лондона, вторник превзошел день старта соревнований Уимблдона.	Как казахстанские теннисисты провели второй игровой день на Уимблдоне					n	
			6	Нацбанк Кыргызстана заявил о снижении стоимости золотых слитков. Стоимость унции золота в слитках НБ КР сегодня, 29 июня, составляет 182 тысячи 102 сома. Такая цена держится с 13 июня. С начала года золотые мерные слитки НБ КР весом 31.1 грамма подорожали на 14.1% со 160 тысяч 61 сома. Максимальная стоимость продажи золота зафиксирована 14 марта — 216 тысяч 602 сома.... https://manas.news/analytics/v-kr-neznachitelno-snizilas-stoimost-zolotyh-slitkov/	В Кыргызстане незначительно снизилась стоимость золотых слитков					n	
			7	Анатолий Руденко ребенок полноценной семьи и никогда не знал, каково быть без отца. А все благодаря тому, что у него был прекрасный отчим, который растил Анатолия как своего сына.	«У меня один отец — отчим»: отчего Анатолий Руденко не общается с родным отцом					n	
			8	Известная светская львица и журналист Ксения Собчак всегда присутствует на премьерах театральных постановок своего супруга.	«Ей как будто больше 56-ти»: поклонники огорошены внешним видом Ксении Собчак					n	
			9	Жду вас 5 июля на вебинаре "РАСЦВЕТАЙ, МАЛЫШ!": https://trening.flymama.info/malysh/?utm_source=facebook Я вам дам абсолютно уникальную информацию, которую больше нигде не найти. Обещаю вам полную перезагрузку вашего представления о вашем малыше ❤️🙏😍. Не пропустите!						n	
			10	Российская авиация выпустила три ракеты по поселку в окрестностях Одессы. Одна из ракет частично разрушила жилой девятиэтажный дом, две другие попали в базы отдыха. Погибли, по последней информации, 18 человек, включая двоих детей, более 30 были ранены.	Война в Украине. В результате ракетных ударов по Одесской области погибли 18 человек - Новости на русском языке					w	
			11	Ты – без рубашки, я – в ней, босая.. Мир – для двоих верх тормашками; Связь, если любишь всегда роковая, С красным вином, розами и ромашками. Капелькой страсти к тебе не колени, Сладко целуя, и соблазняя.. На стене сольются наши тени В свете свечей наготой мерцая. Голос чуть слышный, шелест дыхания, Мы раздразнили друг друга безбожно. От наслажденья теряя сознание. Остановиться уже не возможно.. Сильные руки удержат в ладонях. Хрупкое тело с атласной кожей, С рвущимся наружу стоном Двинешься к постели с обнажённой ношей..						n	
			12	Все подробности о ходе войны - в текстовом онлайне РБК-Украина ↘ +фото и видео	62-й день войны России против Украины. Что происходит сейчас: онлайн					w	
