				message						label	
			1	За роки війни я звик на волонтерство витрачати власні кошти. Збереження, виплата за поранення, військова пенсія, зароблені кошти: це все йшло на утримання будинку ветерана Бандерівський Схрон, а з початком повномаштабного пізд...ца на допомогу силам оборони України. Волонтерський центра Бандерівського Схрону завжди буде вдячним всім хто продовжує нас підтримувати фінансово. Це люди з усього світу! І це надихає!!! Та найбільше надихають донати від хлопців, що знаходяться на війні! Вже два місяці декілька моїх побратимів перераховують кошти. Коли я запитую чому? Отримую тільки одну відповідь на яку в мене немає зворотніх аргументів. -"Ви допомогли мені, а тепер я хочу щоб ви допомогли ще комусь..."!!! Хлопці починають віддавати свої зарплати да доплати на волонтерські потреби! І це просто круто!!! Нажаль вже майже як два місяці фінансова підтримка знизилася в десятки разів. Нажаль запити на допомогу збільшуються... Прикро але багато потреб ми просто не здатні фінансово забезпечити... Щоб мати можливість придбати все необхідне по запитах, які роблять до нас підрозділи оборони України, ми прийняли рішення, всім, хто буде донати на Бандерівський Схрон, протягом цього тижня, робити подарунок від нашої майстерні та ростерії. За донати від 500 гривень буде подарунок від майстерні Іграшки зі Схрону (як на фото), а всім, хто задонатить до 500 грн отримає в подарунок пачку нашої крафтової кави зі Схрону!!! Поспішаєте! Кількість подарунків обмежена!!! Попрошу всіх своїх друзів поширити цей допис, а всім хто буде донати ставити під дописом +! Щиро всім дякую за допомогу! Слава Україні! Якщо бажаєте нам допомогти то наступна інформація для Вас 👇 Реквізити для фінансової допомоги: Картки Приватбанк на Чернецького Ігора Йосиповича гривня: 5363542307893306 Картка Монобанк на Чернецького Ігора Гривня: 4441114442180954 PayPal: igorcherneckii@gmail.com 0x3ED647BCA74ba378280145936414bcDCA0bD126e ETH (ефір) 3NX212TkcsbQoYfGMSHpYxz59QbmVBCqwT BTC (bitcoin) Реквізити Громадської організації "Центр для учасників АТО та їхніх сімей " Бандерівський Схрон": ПАТ КБ "Приватбанк", Код банку 336677 Гривні Р/Р UA953366770000026006052510963 ЄДРПОУ 41292835 ГРИВНЯ Код за ЄДРПОУ 41292835 Номер рахунку UA043510050000026005658301100 ПАТ "УкрСиббанк" МФО 351005 USD Номер рахунку UA043510050000026005658301100 ПАТ "УкрСиббанк" МФО 351005 Код за ЄДРПОУ 39711850 Банк бенефіціара 020061151200138 Ukrsibbank Andriivska street 2/12 Kyiv, Ukraine Swift KHABUA2K Банк-посередник BNP Paribas U.S.A- New York Branch New York, USA Swift-code BNPAUS3N EURO Номер рахунку UA043510050000026005658301100 ПАТ "УкрСиббанк" МФО 351005 Код за ЄДРПОУ 39711850 Банк бенефіціара 07205696 Ukrsibbank Andriivska street 2/12 Kyiv, Ukraine Swift-code KHABUA2K Банк-посередник BNP Paribas SA Paris, France Swift-code BNPAFRPP Будемо вдячні за кожну гривню!!						u	
			2	⚡️ В Іспанії затримали Анатолія Шарія, якого підозрюють у держзраді #hromadske #новини #Росія #Україна #війна						u	
			3	ОПЕРАТИВНА ІНФОРМАЦІЯ ЩОДО РАДІАЦІЙНОГО ФОНУ на 08.00 годину 23.06.2022 р. ДУ «Запорізький обласний центр контролю та профілактики хвороб МОЗ України» повідомляє, що радіаційний фон на території Запорізької області залишається без змін та не несе загрозу життю та здоров’ю населення. Станом на 08.00 годину 23.06.2022 року гама-фон становить : 🔸 м. Запоріжжя - 11 мкР/год; 🔸 м. Енергодар - 10 мкР/год; 🔸 м. К-Дніпровська - 10 мкР/год; 🔸 м. Бердянськ - 12 мкР/год; та є таким, який не перевищує властивий для цих територій природний фон. 🇺🇦 Сайт ЗОВА - https://www.zoda.gov.ua/ 🇺🇦 Telegram ЗОВА - https://t.me/zoda_gov_ua 🇺🇦 YouTube ЗОВА - https://youtube.com/channel/UCY9gycMW-W6JggH7ksIPbjA						u	
			4	У Луганській області окупанти обстріляли евакуаційний транспорт, який їхав забирати 10 людей з регіону. Осколки снарядів пробили броню машини. Внаслідок цього загинув французький журналіст — він отримав поранення в шию #hromadske #новини #Україна #війна						u	
			5	NOVÝ ŠÉF BRITSKÉHO GENERÁLNEHO ŠTÁBU CHCE BUDOVAŤ ARMÁDU SCHOPNÚ PORAZIŤ RUSKO V Británii majú v úmysle vytvoriť novú armádu, ktorá bude schopná bojovať v Európe a, samozrejme, odolávať ruskej armáde. Vyhlásil to generál Patrick Sanders, ktorý nastúpil do funkcie náčelníka Generálneho štábu pozemných síl. Podľa generála potrebuje Spojené kráľovstvo súrne pripraviť novú armádu, ktorá bude schopná bojovať na európskom území, ako aj spolu so svojimi spojencami „poraziť Rusko“. "Teraz je naliehavo potrebné vytvoriť armádu, ktorá bude schopná bojovať po boku našich spojencov a poraziť Rusko v boji. My sme generácia, ktorá musí pripraviť armádu na ďalší boj v Európe" - povedal Sanders vo výzve britskej armáde. Toto vyhlásenie je populistické a zamerané na domáce publikum Spojeného kráľovstva. Vláda Spojeného kráľovstva v súčasnosti presadzuje politiku zmenšovania britskej armády a oznamuje plány na premenu kvantity na kvalitu. Zároveň je katastrofálny nedostatok peňazí na reformu, takže niektoré programy sa jednoducho nerealizujú, hoci už boli ohlásené. Napriek ťažkostiam s financovaním Londýn nemieni odmietnuť vojenskú pomoc Kyjevu, dodávky zbraní a vybavenia Ukrajine budú pokračovať. Ako nedávno povedal minister obrany Ben Wallace, Británia plánuje zvýšiť objem vojenskej pomoci, ale nepošle svojich vojakov na Ukrajinu.						xx	
			6	Ален Делон захотел покинуть наш мир. И сделать он это хочет с помощью эвтаназии в стране, где это разрешено законом.						r	
			7	Вони здатні захищати власні права та принципи найрадикальнішими способами						u	
			8	❗️В торговому центрі було більше тисячі цивільних.😱ВІДЕО						u	
			9	Путін все ще хоче захопити усю Україну: Данілов попередив про тривалу війну						u	
			10	💥Повинен був взяти Львів 21 березня: путін готується ліквідувати Лукашенка за обман: розкрито подробиці! Інформація ТУТ 👉https://bit.ly/3vlJ4KO						u	
			11	Як Білорусь під приводом "тренувань" посилить армію РФ списаною технікою						u	
			12	Дмитрий Песков назвал решение властей Литвы по блокаде Калининграда «нарушением всего и вся»						r	
			13	У Кремлі заявили, що якщо Швеція та Фінляндія вступлять до НАТО — вони стануть противниками РФ, а “довжина сухопутних кордонів альянсу з РФ зросте більш ніж удвічі”						u	
			14	#ПовертаємоСвітло ⚡️За тиждень ДТЕК повернув світло в майже 120 тисяч осель українців попри бойові дії. «Незважаючи на щоденні обстріли в області, енергетики ДТЕК за тиждень з 13 по 19 червня повернули світло 118 270 родинам у 121 населеному пункті Донеччини. В деяких населених пунктах через регулярні обстріли енергетикам доводиться мало не щодня проводити ремонти мереж та повертати світло мешканцям. Бригади енергетиків безперервно працюють уже 116 діб та роблять все можливе, для того аби повертати світло мешканцям в максимально короткі терміни. Міцно тримаємо #ЕнергетичнийФронт! #РазомСильніші						u	
			15	Пані Наталія разом із трьома дітьми була змушена покинути рідну домівку у Попасній, що на Луганщині. Вони оселилися у селі Повча на Дубенщині. У мирному житті сини Наталії займалися футболом						u	
			16	Стрілянина в Чернігові: що за постріли чули містяни на вихідних						u	
			17	росіяни, "майовка" і "шашличкі" відміняються! Продовжуйте терпіти!						u	
			18	Коњуфца во посета на косовските лидери во притворот во Хаг						xx	
